189	Melodious Warbler	94480655600151976020637350624116370809	2015-08-11 19:13:17	2015-08-11 19:13:17
190	Pato arlequín	85165387716486432544958451103968085222	2015-08-11 19:13:17	2015-08-11 19:13:17
191	Harlequin Duck	38000651714124003459838609434690965734	2015-08-11 19:13:17	2015-08-11 19:13:17
192	arlequin plongeur	44949680063926511663008931780006773627	2015-08-11 19:13:17	2015-08-11 19:13:17
193	Yellow-breasted Chat	113064650966939602091338468364226762853	2015-08-11 19:13:18	2015-08-11 19:13:18
194	Buscabreña	130883963651549976398934052190449126927	2015-08-11 19:13:18	2015-08-11 19:13:18
195	Paruline polyglotte	337079265739231533566058961726128094902	2015-08-11 19:13:18	2015-08-11 19:13:18
196	paruline polyglotte	236257883883406582621112932614911954377	2015-08-11 19:13:18	2015-08-11 19:13:18
197	Least Bitterns	320726248528832634443338389830610727399	2015-08-11 19:13:18	2015-08-11 19:13:18
198	Juncos	224044939312169557392710004168979758669	2015-08-11 19:13:19	2015-08-11 19:13:19
199	Wrynecks	40145741809044764463511107675042160499	2015-08-11 19:13:19	2015-08-11 19:13:19
200	Eurasian Wryneck	223933253161225068844781418529954556242	2015-08-11 19:13:20	2015-08-11 19:13:20
201	Sao Tome Fiscal	120686722602616160688939406531642758463	2015-08-11 19:13:21	2015-08-11 19:13:21
202	Woodchat Shrike	139536006702376688445088673093816235824	2015-08-11 19:13:21	2015-08-11 19:13:21
203	Grey-backed Shrike	61503341544999009454340208411925477142	2015-08-11 19:13:21	2015-08-11 19:13:21
204	Skimmers	180990273375820745851490450917721072515	2015-08-11 19:13:22	2015-08-11 19:13:22
205	Sabine's Gulls	134108261480689462469596704428295863320	2015-08-11 19:13:22	2015-08-11 19:13:22
206	Armenian Gull	279643045364122956236405796038698815592	2015-08-11 19:13:22	2015-08-11 19:13:22
207	Yellow-legged Gull	169668343476402740285709442031114640439	2015-08-11 19:13:22	2015-08-11 19:13:22
208	Caspian Gull	140643969407529304332211094004474555478	2015-08-11 19:13:22	2015-08-11 19:13:22
209	Glaucous-winged Gull	87958914351234359844916236685730743590	2015-08-11 19:13:22	2015-08-11 19:13:22
210	Gaviota ala glauca	261325747833503370936033680748123879192	2015-08-11 19:13:22	2015-08-11 19:13:22
211	Goéland à ailes grises	39215295618293807132781675079516819610	2015-08-11 19:13:22	2015-08-11 19:13:22
212	White-throated Crake	12070002951884134871502002382895159808	2015-08-11 19:13:23	2015-08-11 19:13:23
213	Malleefowl	155113579164208287321322727345239612837	2015-08-11 19:13:23	2015-08-11 19:13:23
214	Lineated Woodcreeper	231693040983630683120508019851514946042	2015-08-11 19:13:24	2015-08-11 19:13:24
215	Scalloped Woodcreeper	87014563393207154506481233045359244845	2015-08-11 19:13:24	2015-08-11 19:13:24
216	Streak-backed Tit-Spinetail	182758596968718307191594067020106306523	2015-08-11 19:13:24	2015-08-11 19:13:24
217	White-collared Kite	80705091091617808508265732985316188265	2015-08-11 19:13:24	2015-08-11 19:13:24
218	Rufous-breasted Flycatcher	134223716190615816559791448969433085010	2015-08-11 19:13:25	2015-08-11 19:13:25
219	Azuero Dove	178214915634465522327752038394963638283	2015-08-11 19:13:25	2015-08-11 19:13:25
220	Bali Myna	174734298128696249668643069361019183694	2015-08-11 19:13:26	2015-08-11 19:13:26
221	Rothschild's starling	118870276411581088185741648226681790757	2015-08-11 19:13:26	2015-08-11 19:13:26
222	Sillem's Mountain Finch	242998356449079284653206199493922292804	2015-08-11 19:13:27	2015-08-11 19:13:27
223	Purple-gaped Honeyeater	284469328347651046914661119236170153429	2015-08-11 19:13:27	2015-08-11 19:13:27
224	Yellow-throated Honeyeater	142554744720152650149458303788020932953	2015-08-11 19:13:27	2015-08-11 19:13:27
225	Eungella Honeyeater	86039121847219182733503132084789059812	2015-08-11 19:13:27	2015-08-11 19:13:27
226	Obscure Honeyeater	219445365699930069722547045377175675007	2015-08-11 19:13:27	2015-08-11 19:13:27
227	Grey-fronted Honeyeater	136604652572833964017593124264432833079	2015-08-11 19:13:28	2015-08-11 19:13:28
228	Singing Honeyeater	10032594850240601275829842051397633732	2015-08-11 19:13:28	2015-08-11 19:13:28
229	Flame-eared Honeyeater	3081164260096801486016935340846505376	2015-08-11 19:13:28	2015-08-11 19:13:28
230	Seram Honeyeater	199094488809582452774737293091386089413	2015-08-11 19:13:28	2015-08-11 19:13:28
231	Broad-billed Sandpipers	30690497560552926547714536975388867438	2015-08-11 19:13:28	2015-08-11 19:13:28
232	Broad-billed Sandpiper	11712519699414793446276896985010508802	2015-08-11 19:13:28	2015-08-11 19:13:28
233	Bécasseau falcinelle	109659602985564845108911412532443672165	2015-08-11 19:13:28	2015-08-11 19:13:28
234	Long-billed Dowitcher	198427125298959074092699737779980325269	2015-08-11 19:13:29	2015-08-11 19:13:29
235	Costurero pico largo	45825340351246860223981401410557115697	2015-08-11 19:13:29	2015-08-11 19:13:29
236	Bécassin à long bec	180609135543031217305175605179575580002	2015-08-11 19:13:29	2015-08-11 19:13:29
237	Picopando cola barrada	335830850174895774526588735867327524568	2015-08-11 19:13:29	2015-08-11 19:13:29
238	Bar-tailed Godwit	149285154598007612940195416066825839074	2015-08-11 19:13:29	2015-08-11 19:13:29
239	Barge rousse	76738399632626921053579211003199969581	2015-08-11 19:13:29	2015-08-11 19:13:29
240	Red-faced Liocichla	39379703832704558918957292869087156641	2015-08-11 19:13:29	2015-08-11 19:13:29
241	Savi's Warbler	106487815500518089314381099106148101667	2015-08-11 19:13:30	2015-08-11 19:13:30
242	Negreta negra	271506667228784868887199148880380691464	2015-08-11 19:13:33	2015-08-11 19:13:33
243	macreuse noire	321513492690155691202004123715406813812	2015-08-11 19:13:33	2015-08-11 19:13:33
244	Black Scoter	135804505555983332272517033904354742765	2015-08-11 19:13:33	2015-08-11 19:13:33
245	Smews	310741519731003630634925858656289175125	2015-08-11 19:13:34	2015-08-11 19:13:34
246	Smew	128521525101540185893196264355845043823	2015-08-11 19:13:34	2015-08-11 19:13:34
247	harle piette	280917877928364659766321653388522104803	2015-08-11 19:13:34	2015-08-11 19:13:34
248	Red-breasted Merganser	311878218699063306657471837638406827367	2015-08-11 19:13:34	2015-08-11 19:13:34
249	Mergo copetón	123877866899483667901112041639150919272	2015-08-11 19:13:34	2015-08-11 19:13:34
250	harle huppé	127458010136639376184169670082512417049	2015-08-11 19:13:34	2015-08-11 19:13:34
251	Northern Carmine Bee-eater	303244258986373427178016490901411422022	2015-08-11 19:13:35	2015-08-11 19:13:35
252	Cinnamon-chested Bee-eater	299520919485066422226701064723932704259	2015-08-11 19:13:35	2015-08-11 19:13:35
253	Rainbow Bee-eater	286662295572070501506347894142711347449	2015-08-11 19:13:36	2015-08-11 19:13:36
254	Somali Bee-eater	205342511113688022290699640178411270939	2015-08-11 19:13:37	2015-08-11 19:13:37
255	Blue-throated Bee-eater	45158370071952944333100455001595238068	2015-08-11 19:13:37	2015-08-11 19:13:37
256	Plumbeous Forest Falcon	43594468964288747959229860067841082078	2015-08-11 19:13:38	2015-08-11 19:13:38
257	White-fronted Falconet	16661189684332519400453744074169209504	2015-08-11 19:13:38	2015-08-11 19:13:38
258	Chimango Caracara	192766548572804431580065072204772879623	2015-08-11 19:13:38	2015-08-11 19:13:38
259	Bishop's Oo	303536677949339004631200174875512610968	2015-08-11 19:13:39	2015-08-11 19:13:39
260	Northern Gannet	3307994902468672955795799198843108249	2015-08-11 19:13:39	2015-08-11 19:13:39
261	Bobo norteño	173469667421380288060557893417281053889	2015-08-11 19:13:39	2015-08-11 19:13:39
262	Fou de Bassan	291377916888642345527991857036537749917	2015-08-11 19:13:39	2015-08-11 19:13:39
263	Citrine Wagtail	152978563066874644037634950691557585736	2015-08-11 19:13:39	2015-08-11 19:13:39
264	Palau Flycatcher	164530632233242353359053869403427745335	2015-08-11 19:13:40	2015-08-11 19:13:40
